show_id,listed_in_1,listed_in_2,listed_in_3,listed_in_4,listed_in_5,listed_in_6,listed_in_7,listed_in_8
s116,Dramas, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s117,Comedies, Dramas, Independent Movies,NULL,NULL,NULL,NULL,NULL
s118,Documentaries,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s119,Dramas, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s120,Dramas, International Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s121,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s122,International TV Shows, Romantic TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL
s123,Thrillers,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s124,Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s125,Kids' TV, Korean TV Shows,NULL,NULL,NULL,NULL,NULL,NULL
s126,Crime TV Shows, TV Action & Adventure, TV Comedies,NULL,NULL,NULL,NULL,NULL
s127,Dramas, International Movies, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s128,Children & Family Movies, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s129,Dramas, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s130,Dramas,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s131,Children & Family Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL,NULL
s132,Action & Adventure, Classic Movies, Cult Movies,NULL,NULL,NULL,NULL,NULL
s133,International TV Shows, TV Action & Adventure, TV Comedies,NULL,NULL,NULL,NULL,NULL
s134,Action & Adventure, Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL,NULL
s135,Action & Adventure, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s136,Action & Adventure,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s137,Dramas, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s138,Action & Adventure, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s139,Dramas, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s140,Classic Movies, Comedies, Dramas,NULL,NULL,NULL,NULL,NULL
s141,Dramas, International Movies, Thrillers,NULL,NULL,NULL,NULL,NULL
s142,Action & Adventure,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s143,Dramas,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s144,Action & Adventure, Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL,NULL
s145,Comedies, Cult Movies,NULL,NULL,NULL,NULL,NULL,NULL
s146,Comedies, Cult Movies, Music & Musicals,NULL,NULL,NULL,NULL,NULL
s147,Comedies, Music & Musicals,NULL,NULL,NULL,NULL,NULL,NULL
s148,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s149,TV Shows,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s150,Action & Adventure, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s151,Thrillers,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s152,Action & Adventure, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s153,Comedies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s154,Kids' TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s155,Anime Series, International TV Shows, Teen TV Shows,NULL,NULL,NULL,NULL,NULL
s156,Action & Adventure, Children & Family Movies, Cult Movies,NULL,NULL,NULL,NULL,NULL
s157,Comedies, Dramas, Romantic Movies,NULL,NULL,NULL,NULL,NULL
s158,Sci-Fi & Fantasy, Thrillers,NULL,NULL,NULL,NULL,NULL,NULL
s159,Comedies, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s160,Comedies, Dramas, International Movies,NULL,NULL,NULL,NULL,NULL
s161,TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s162,Comedies, Cult Movies, Sci-Fi & Fantasy,NULL,NULL,NULL,NULL,NULL
s163,Dramas,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s164,Comedies, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s165,Action & Adventure, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s166,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,NULL,NULL,NULL,NULL,NULL
s167,Classic Movies, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s168,Children & Family Movies, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s169,Action & Adventure, Children & Family Movies, Comedies,NULL,NULL,NULL,NULL,NULL
s170,Action & Adventure, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s171,Documentaries, Music & Musicals,NULL,NULL,NULL,NULL,NULL,NULL
s172,Dramas, Faith & Spirituality,NULL,NULL,NULL,NULL,NULL,NULL
s173,Comedies, Music & Musicals,NULL,NULL,NULL,NULL,NULL,NULL
s174,Documentaries, LGBTQ Movies,NULL,NULL,NULL,NULL,NULL,NULL
s175,Action & Adventure, Dramas,NULL,NULL,NULL,NULL,NULL,NULL
s176,Dramas, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s177,Action & Adventure, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s178,Action & Adventure, Classic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s179,Action & Adventure, Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s180,Comedies, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s181,Comedies, Romantic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s182,Docuseries,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s183,Comedies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s184,Action & Adventure, Classic Movies,NULL,NULL,NULL,NULL,NULL,NULL
s185,Reality TV,NULL,NULL,NULL,NULL,NULL,NULL,NULL
s186,Documentaries, Sports Movies,NULL,NULL,NULL,NULL,NULL,NULL
s187,International TV Shows, Romantic TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL
s188,International TV Shows, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s189,Comedies, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s190,Kids' TV, TV Comedies,NULL,NULL,NULL,NULL,NULL,NULL
s191,Dramas, International Movies,NULL,NULL,NULL,NULL,NULL,NULL
s192,Dramas, Independent Movies,NULL,NULL,NULL,NULL,NULL,NULL
